BorrowerOccupation,BorrowerGender,NetMonthlySalary,BorrowerPostalCode,BorrowerDistrict,BorrowerPlanningArea,BorrowerID
CLEANER,M,1533,289713.0,11.0,BUKIT TIMAH,3303
SERVICE,M,996,289730.0,11.0,BUKIT TIMAH,6451
SERVICE,F,1245,460181.0,16.0,BEDOK,6419
TECHNICIAN,M,1379,573895.0,20.0,BISHAN,7115
CRAFTS,F,1106,160022.0,3.0,BUKIT MERAH,6367
CLEANER,M,929,169878.0,3.0,OUTRAM,7967
OTHER,F,1229,736786.0,25.0,WOODLANDS,5343
CRAFTS,F,1269,670514.0,23.0,BUKIT PANJANG,6187
PLANT AND MACHINE,F,1501,229745.0,9.0,NEWTON,4546
SERVICE,M,1442,309568.0,11.0,NOVENA,4720
PLANT AND MACHINE,M,1368,460169.0,16.0,BEDOK,550
PLANT AND MACHINE,F,1362,228192.0,9.0,ROCHOR,4884
PLANT AND MACHINE,M,1584,309396.0,11.0,NOVENA,5495
SECURITY,M,1480,579876.0,20.0,BISHAN,49
CLERICAL,M,1979,138687.0,5.0,QUEENSTOWN,4100
PLANT AND MACHINE,M,1240,259079.0,10.0,TANGLIN,4605
SERVICE,F,1212,478934.0,16.0,BEDOK,2621
SECURITY,M,1615,359574.0,13.0,SERANGOON,7892
TECHNICIAN,M,1730,271006.0,10.0,QUEENSTOWN,4666
CLEANER,F,1371,538754.0,19.0,HOUGANG,5512
CRAFTS,F,1164,249891.0,10.0,TANGLIN,5210
CLERICAL,F,2245,534072.0,19.0,HOUGANG,6166
TECHNICIAN,M,1143,598645.0,21.0,BUKIT TIMAH,5392
CLERICAL,M,1610,575403.0,20.0,BISHAN,7218
PLANT AND MACHINE,F,1837,528807.0,18.0,TAMPINES,5804
CLEANER,F,1144,640752.0,22.0,JURONG WEST,6254
PLANT AND MACHINE,F,1380,219647.0,8.0,KALLANG,7781
CLERICAL,M,2036,424217.0,15.0,BEDOK,7957
SERVICE,F,1456,544774.0,19.0,HOUGANG,6192
CRAFTS,F,1350,269199.0,10.0,BUKIT TIMAH,5602
PLANT AND MACHINE,M,1531,439943.0,15.0,MARINE PARADE,5697
CLEANER,M,1082,423982.0,15.0,MARINE PARADE,5348
CLERICAL,F,1241,467672.0,16.0,BEDOK,5742
TECHNICIAN,F,990,439972.0,15.0,MARINE PARADE,3575
SERVICE,F,1068,439974.0,15.0,MARINE PARADE,4504
CLERICAL,F,1826,98450.0,4.0,SOUTHERN ISLANDS,5291
CLERICAL,M,1351,229383.0,9.0,NEWTON,6707
SERVICE,F,1261,681811.0,23.0,CHOA CHU KANG,7080
SERVICE,F,1138,120412.0,5.0,CLEMENTI,7865
TECHNICIAN,M,1588,731886.0,25.0,WOODLANDS,6402
CLEANER,F,1290,640643.0,22.0,JURONG WEST,5941
SECURITY,F,2008,648342.0,22.0,JURONG WEST,6413
SERVICE,F,1241,578895.0,20.0,BISHAN,5763
CLERICAL,F,1698,557297.0,19.0,SERANGOON,7855
TECHNICIAN,M,878,249441.0,10.0,TANGLIN,7746
CLERICAL,M,1978,458173.0,15.0,BEDOK,348
CLERICAL,F,2012,430002.0,15.0,GEYLANG,5845
SERVICE,F,1095,429727.0,15.0,GEYLANG,4578
OTHER,M,1293,456401.0,15.0,BEDOK,7026
PLANT AND MACHINE,F,1695,466119.0,16.0,BEDOK,7826
SERVICE,F,1195,547128.0,19.0,HOUGANG,5235
CLERICAL,F,1928,258127.0,10.0,NEWTON,5233
CRAFTS,F,1380,576625.0,20.0,BISHAN,7867
SERVICE,F,1330,228194.0,9.0,ROCHOR,4981
SECURITY,M,1672,650527.0,23.0,BUKIT BATOK,5720
SERVICE,F,1331,258966.0,10.0,TANGLIN,4696
PLANT AND MACHINE,M,1312,98341.0,4.0,SOUTHERN ISLANDS,5921
SERVICE,M,1239,534749.0,19.0,HOUGANG,4691
CLERICAL,F,1127,787059.0,26.0,ANG MO KIO,5197
CLERICAL,M,1809,249159.0,10.0,RIVER VALLEY,5591
TECHNICIAN,M,1783,228464.0,9.0,MUSEUM,6178
SERVICE,F,1115,823622.0,19.0,PUNGGOL,685
SERVICE,F,1375,530964.0,19.0,HOUGANG,7320
CLERICAL,F,2200,670478.0,23.0,BUKIT PANJANG,2253
CLERICAL,F,1811,259420.0,10.0,NEWTON,8010
CRAFTS,M,1433,229768.0,9.0,NEWTON,4724
CLEANER,M,954,449286.0,15.0,BEDOK,6470
SERVICE,M,1438,288841.0,11.0,BUKIT TIMAH,4407
CLERICAL,F,2116,126991.0,5.0,CLEMENTI,5912
PLANT AND MACHINE,F,1389,545042.0,19.0,SENGKANG,1151
SERVICE,F,1514,640603.0,22.0,JURONG WEST,2154
SERVICE,F,1237,478935.0,16.0,BEDOK,5653
SECURITY,M,1735,119045.0,5.0,QUEENSTOWN,5242
CLERICAL,F,1616,119043.0,5.0,QUEENSTOWN,6167
TECHNICIAN,M,1542,228196.0,9.0,ROCHOR,7864
CLERICAL,F,2180,358560.0,13.0,SERANGOON,984
SECURITY,M,2185,238257.0,9.0,SINGAPORE RIVER,2498
SECURITY,M,1768,468726.0,16.0,BEDOK,4434
CLEANER,M,1385,237988.0,9.0,RIVER VALLEY,6379
OTHER,F,1146,648359.0,22.0,JURONG WEST,5641
CRAFTS,M,1310,238257.0,9.0,SINGAPORE RIVER,5285
PLANT AND MACHINE,M,1733,648360.0,22.0,JURONG WEST,5734
SERVICE,F,1213,437431.0,15.0,KALLANG,7696
PLANT AND MACHINE,M,1450,259786.0,10.0,TANGLIN,7333
CLEANER,F,1348,556113.0,19.0,SERANGOON,4545
SERVICE,F,1407,159192.0,3.0,TANGLIN,7476
CLERICAL,M,1634,300069.0,11.0,NOVENA,7255
SECURITY,F,1831,257855.0,10.0,TANGLIN,5669
SERVICE,M,1348,159961.0,3.0,QUEENSTOWN,6769
CLERICAL,F,1768,159960.0,3.0,QUEENSTOWN,7117
CRAFTS,F,1226,99758.0,4.0,BUKIT MERAH,2151
SERVICE,F,1177,228511.0,9.0,NEWTON,7432
CLERICAL,M,1678,159958.0,3.0,QUEENSTOWN,4095
SERVICE,F,1283,219720.0,8.0,KALLANG,7423
PLANT AND MACHINE,F,1520,460049.0,16.0,BEDOK,7885
CLERICAL,F,2517,461053.0,16.0,BEDOK,4174
CLEANER,F,998,239192.0,9.0,RIVER VALLEY,6841
SERVICE,M,1185,259403.0,10.0,NEWTON,6258
SERVICE,F,1265,679973.0,23.0,BUKIT PANJANG,7552
OTHER,F,1137,257530.0,10.0,TANGLIN,5551
CLEANER,M,1191,440052.0,15.0,MARINE PARADE,7186
PLANT AND MACHINE,F,1274,556189.0,19.0,SERANGOON,5365
SECURITY,M,1777,679086.0,23.0,BUKIT PANJANG,4926
TECHNICIAN,M,1953,129790.0,5.0,CLEMENTI,3550
CLERICAL,M,1458,380053.0,14.0,GEYLANG,6348
CLEANER,F,1129,89775.0,2.0,BUKIT MERAH,182
OTHER,F,1279,456102.0,15.0,BEDOK,7773
PLANT AND MACHINE,M,1391,169586.0,3.0,BUKIT MERAH,7683
CLERICAL,M,1821,670534.0,23.0,BUKIT PANJANG,7562
SERVICE,M,1005,148957.0,3.0,QUEENSTOWN,5728
PLANT AND MACHINE,M,1734,259703.0,10.0,NEWTON,405
SERVICE,M,1270,259817.0,10.0,TANGLIN,4660
SECURITY,M,1976,610122.0,22.0,JURONG WEST,4374
CLEANER,F,1487,468984.0,16.0,BEDOK,1254
CRAFTS,F,1335,823213.0,19.0,PUNGGOL,6329
CLERICAL,F,1528,760409.0,27.0,YISHUN,4423
SERVICE,M,1191,267912.0,10.0,BUKIT TIMAH,5332
SERVICE,M,1249,730029.0,25.0,WOODLANDS,4588
SERVICE,M,1093,730724.0,25.0,WOODLANDS,5077
CLEANER,M,1314,436918.0,15.0,KALLANG,3429
OTHER,M,1236,437880.0,15.0,MARINE PARADE,5008
SERVICE,F,1431,228511.0,9.0,NEWTON,7010
PLANT AND MACHINE,F,1167,545118.0,19.0,SENGKANG,2664
SECURITY,F,1783,259280.0,10.0,TANGLIN,7106
CLEANER,F,1693,544778.0,19.0,HOUGANG,6422
SERVICE,F,1476,257536.0,10.0,TANGLIN,7579
TECHNICIAN,M,1330,258868.0,10.0,TANGLIN,6465
SERVICE,M,1103,436881.0,15.0,KALLANG,4948
CLERICAL,M,2015,518186.0,18.0,PASIR RIS,2316
CRAFTS,F,1047,229666.0,9.0,NEWTON,6424
SERVICE,F,1403,683685.0,23.0,CHOA CHU KANG,979
SECURITY,F,2043,760863.0,27.0,YISHUN,5071
SERVICE,M,1072,238367.0,9.0,RIVER VALLEY,6468
SERVICE,M,1268,269257.0,10.0,BUKIT TIMAH,4476
SERVICE,M,1388,470716.0,16.0,BEDOK,5349
CLERICAL,M,2002,249616.0,10.0,TANGLIN,5615
PLANT AND MACHINE,F,1338,457071.0,15.0,BEDOK,4252
SERVICE,F,1107,550531.0,19.0,SERANGOON,5658
SERVICE,M,1322,249633.0,10.0,RIVER VALLEY,3796
SERVICE,F,1437,229745.0,9.0,NEWTON,6636
CLEANER,F,1188,436927.0,15.0,KALLANG,6531
SECURITY,F,1603,278225.0,10.0,BUKIT TIMAH,4842
SERVICE,F,1166,258371.0,10.0,TANGLIN,6924
SERVICE,F,1275,138686.0,5.0,QUEENSTOWN,4149
SERVICE,M,1285,436879.0,15.0,KALLANG,351
CLERICAL,M,1807,436882.0,15.0,KALLANG,7153
CLERICAL,M,1566,259817.0,10.0,TANGLIN,7114
SERVICE,F,1081,436882.0,15.0,KALLANG,5824
SERVICE,M,1321,539053.0,19.0,SERANGOON,8070
CRAFTS,F,1538,278853.0,10.0,BUKIT TIMAH,5246
CLERICAL,F,1830,468572.0,16.0,BEDOK,4291
CLEANER,F,1196,138686.0,5.0,QUEENSTOWN,6382
SERVICE,M,1397,808591.0,28.0,SERANGOON,7575
CLEANER,F,1274,228598.0,9.0,NOVENA,6487
SECURITY,M,1963,257872.0,10.0,TANGLIN,2488
SERVICE,M,1248,436881.0,15.0,KALLANG,7727
SERVICE,M,1226,599045.0,21.0,BUKIT TIMAH,5878
PLANT AND MACHINE,M,1612,575628.0,20.0,BISHAN,2355
SERVICE,M,1322,436894.0,15.0,KALLANG,5943
SERVICE,F,1284,642684.0,22.0,JURONG WEST,5469
CLERICAL,F,1867,436881.0,15.0,KALLANG,7460
CLERICAL,M,1561,643685.0,22.0,JURONG WEST,4335
CLEANER,M,1434,239619.0,9.0,MUSEUM,3427
CLEANER,M,1160,288642.0,11.0,BUKIT TIMAH,5215
SERVICE,M,1300,738211.0,25.0,WOODLANDS,7143
CLERICAL,F,1687,249587.0,10.0,RIVER VALLEY,5779
SERVICE,F,1408,530429.0,19.0,HOUGANG,4176
CLEANER,M,1777,545678.0,19.0,HOUGANG,7090
TECHNICIAN,F,1138,109703.0,4.0,BUKIT MERAH,5145
SECURITY,M,1989,229544.0,9.0,NEWTON,6353
SECURITY,F,2096,488326.0,16.0,TAMPINES,5256
CLERICAL,M,2242,400024.0,14.0,GEYLANG,7551
SECURITY,F,1917,798684.0,28.0,SELETAR,4312
SERVICE,M,1327,297724.0,11.0,TOA PAYOH,7687
CLERICAL,F,1964,239228.0,9.0,RIVER VALLEY,6584
PLANT AND MACHINE,F,1070,680279.0,23.0,CHOA CHU KANG,5828
SERVICE,M,1330,479251.0,16.0,BEDOK,4064
SERVICE,F,1213,541287.0,19.0,SENGKANG,4881
CLERICAL,F,1345,249613.0,10.0,TANGLIN,5663
PLANT AND MACHINE,M,1739,228492.0,9.0,ROCHOR,5691
CLEANER,M,1290,789630.0,26.0,ANG MO KIO,7503
CLEANER,M,1350,436932.0,15.0,KALLANG,994
OTHER,M,1397,437431.0,15.0,KALLANG,7750
SERVICE,F,1282,436882.0,15.0,KALLANG,7794
CLERICAL,F,2018,439893.0,15.0,MARINE PARADE,471
SERVICE,F,1162,417398.0,14.0,BEDOK,6361
CRAFTS,M,1293,528788.0,18.0,TAMPINES,6061
OTHER,F,1492,423696.0,15.0,MARINE PARADE,4356
CRAFTS,M,1351,358195.0,13.0,SERANGOON,5277
CLEANER,F,1161,259335.0,10.0,TANGLIN,4084
CLEANER,M,1222,329216.0,12.0,NOVENA,6600
TECHNICIAN,M,1391,460002.0,16.0,BEDOK,5389
CLEANER,M,1332,249565.0,10.0,TANGLIN,4216
SERVICE,F,1430,319771.0,12.0,TOA PAYOH,6292
PLANT AND MACHINE,F,1359,436606.0,15.0,KALLANG,5174
SERVICE,M,1229,276750.0,10.0,BUKIT TIMAH,1580
OTHER,M,1049,98404.0,4.0,BUKIT MERAH,6145
CLEANER,M,1244,276308.0,10.0,BUKIT TIMAH,6728
CLEANER,F,1272,98656.0,4.0,BUKIT MERAH,7587
SERVICE,M,1184,650268.0,23.0,BUKIT BATOK,8004
CLEANER,M,1502,98635.0,4.0,BUKIT MERAH,2049
TECHNICIAN,M,1138,169659.0,3.0,SINGAPORE RIVER,1941
SERVICE,F,1186,520154.0,18.0,TAMPINES,4683
CLEANER,M,1265,738152.0,25.0,WOODLANDS,4900
SERVICE,F,1172,278745.0,10.0,BUKIT TIMAH,4245
SERVICE,F,1301,597108.0,21.0,CLEMENTI,998
CRAFTS,F,1118,279799.0,10.0,BUKIT TIMAH,7836
SERVICE,M,1444,436606.0,15.0,KALLANG,6940
CLERICAL,M,1751,109695.0,4.0,BUKIT MERAH,7831
SERVICE,M,1216,469976.0,16.0,BEDOK,6624
CLEANER,M,1606,109697.0,4.0,BUKIT MERAH,4779
CLERICAL,F,1925,259806.0,10.0,TANGLIN,7522
SERVICE,F,1093,267906.0,10.0,BUKIT TIMAH,5750
SERVICE,F,1128,98584.0,4.0,SOUTHERN ISLANDS,4633
SECURITY,M,1647,570319.0,20.0,BISHAN,2162
SERVICE,M,1160,799036.0,28.0,HOUGANG,4470
SERVICE,F,1364,439957.0,15.0,MARINE PARADE,6341
SERVICE,M,1187,383003.0,14.0,KALLANG,4066
PLANT AND MACHINE,M,1257,759152.0,27.0,MANDAI,718
CLEANER,M,1285,589473.0,21.0,BUKIT TIMAH,4938
SERVICE,F,1280,556852.0,19.0,SERANGOON,4543
CLERICAL,F,1397,207229.0,8.0,KALLANG,7412
SERVICE,M,1544,436882.0,15.0,KALLANG,7015
SERVICE,M,1138,507005.0,17.0,PASIR RIS,4230
OTHER,F,1256,528779.0,18.0,TAMPINES,4043
SECURITY,M,1494,507007.0,17.0,PASIR RIS,7931
CLERICAL,F,1847,506999.0,17.0,PASIR RIS,5738
SERVICE,M,1428,98411.0,4.0,BUKIT MERAH,5883
CLEANER,M,1222,448909.0,15.0,BEDOK,7414
CRAFTS,F,1255,98404.0,4.0,BUKIT MERAH,6698
CLERICAL,F,1529,238142.0,9.0,RIVER VALLEY,7706
SERVICE,F,1194,159955.0,3.0,QUEENSTOWN,4752
CLERICAL,M,1956,127472.0,5.0,CLEMENTI,6449
SERVICE,M,1259,90026.0,4.0,BUKIT MERAH,7987
CRAFTS,M,1273,98655.0,4.0,BUKIT MERAH,4624
SERVICE,M,1116,98653.0,4.0,BUKIT MERAH,5533
SERVICE,F,1337,98647.0,4.0,BUKIT MERAH,5817
SERVICE,F,1294,127999.0,5.0,CLEMENTI,5758
SERVICE,M,1439,438797.0,15.0,GEYLANG,7056
SECURITY,M,1492,276698.0,10.0,BUKIT TIMAH,5406
CLERICAL,M,1694,437434.0,15.0,KALLANG,5016
CLERICAL,F,2056,438798.0,15.0,GEYLANG,5735
PLANT AND MACHINE,F,1226,248466.0,10.0,TANGLIN,7832
CLEANER,F,1663,109705.0,4.0,BUKIT MERAH,7072
SECURITY,M,1444,126835.0,5.0,CLEMENTI,7530
CLERICAL,F,1776,541117.0,19.0,SENGKANG,4835
PLANT AND MACHINE,F,1217,543116.0,19.0,SENGKANG,5678
SERVICE,F,1336,98657.0,4.0,BUKIT MERAH,4442
SERVICE,M,975,109703.0,4.0,BUKIT MERAH,1399
PLANT AND MACHINE,F,1604,449288.0,15.0,BEDOK,6559
CLEANER,M,1315,229660.0,9.0,NEWTON,6064
SERVICE,F,1240,738209.0,25.0,WOODLANDS,6955
CLEANER,F,1256,449308.0,15.0,MARINE PARADE,5946
CLERICAL,M,1458,448908.0,15.0,BEDOK,6604
OTHER,F,1264,238464.0,9.0,MUSEUM,4474
CRAFTS,F,1332,456905.0,15.0,BEDOK,6277
CLEANER,F,1456,238309.0,9.0,RIVER VALLEY,4273
PLANT AND MACHINE,M,1358,307947.0,11.0,NOVENA,5020
CLERICAL,F,1880,248364.0,10.0,TANGLIN,4796
CLEANER,M,1236,457265.0,15.0,BEDOK,5141
TECHNICIAN,M,1524,522498.0,18.0,TAMPINES,4798
SECURITY,F,1760,589639.0,21.0,BUKIT TIMAH,6761
CRAFTS,F,1441,730644.0,25.0,WOODLANDS,7421
PLANT AND MACHINE,F,995,738211.0,25.0,WOODLANDS,4459
PLANT AND MACHINE,M,1615,457909.0,15.0,BEDOK,4667
CRAFTS,M,1257,738207.0,25.0,WOODLANDS,5853
PLANT AND MACHINE,M,1227,358539.0,13.0,SERANGOON,5175
CLERICAL,M,1814,239403.0,9.0,SINGAPORE RIVER,5652
PLANT AND MACHINE,M,1227,238113.0,9.0,RIVER VALLEY,4440
SERVICE,F,1227,85701.0,2.0,OUTRAM,5305
SERVICE,M,1149,518188.0,18.0,PASIR RIS,6285
CLEANER,F,1116,537443.0,19.0,HOUGANG,6772
CLERICAL,F,1702,309306.0,11.0,NOVENA,4716
SERVICE,M,1274,429714.0,15.0,GEYLANG,7547
CLERICAL,F,1672,429831.0,15.0,GEYLANG,4338
CLEANER,F,1379,18965.0,1.0,DOWNTOWN CORE,4498
CLERICAL,F,1909,533473.0,19.0,HOUGANG,7308
SECURITY,F,1645,18965.0,1.0,DOWNTOWN CORE,825
PLANT AND MACHINE,F,1491,459476.0,15.0,BEDOK,7040
SERVICE,F,1559,228192.0,9.0,ROCHOR,6999
TECHNICIAN,F,1531,359755.0,13.0,SERANGOON,32
OTHER,F,1490,109703.0,4.0,BUKIT MERAH,4126
TECHNICIAN,F,1351,109690.0,4.0,BUKIT MERAH,4349
CLERICAL,M,1877,560650.0,20.0,ANG MO KIO,6110
PLANT AND MACHINE,F,2282,239432.0,9.0,SINGAPORE RIVER,1164
PLANT AND MACHINE,M,1356,524450.0,18.0,TAMPINES,97
SERVICE,M,1308,247913.0,10.0,ORCHARD,6538
SERVICE,M,1427,258468.0,10.0,TANGLIN,7917
PLANT AND MACHINE,M,1914,670181.0,23.0,BUKIT PANJANG,5995
CLERICAL,M,2253,289853.0,11.0,BUKIT TIMAH,5137
PLANT AND MACHINE,F,1774,309021.0,11.0,NOVENA,6069
CLEANER,M,1336,570119.0,20.0,BISHAN,4385
CLEANER,F,1351,570175.0,20.0,BISHAN,4897
SERVICE,M,1134,359606.0,13.0,SERANGOON,7377
SERVICE,M,1115,437434.0,15.0,KALLANG,4041
SERVICE,F,1017,278435.0,10.0,BUKIT TIMAH,4656
SERVICE,F,1324,286883.0,11.0,BUKIT TIMAH,4314
SERVICE,M,1168,730120.0,25.0,WOODLANDS,7445
OTHER,M,1204,544265.0,19.0,SENGKANG,5681
CLERICAL,M,2222,427677.0,15.0,MARINE PARADE,4147
CLERICAL,M,1749,259855.0,10.0,TANGLIN,7678
PLANT AND MACHINE,F,1473,249570.0,10.0,TANGLIN,4433
CLERICAL,M,2045,543309.0,19.0,SENGKANG,3719
SERVICE,M,1244,258635.0,10.0,TANGLIN,8040
CLEANER,M,1051,120413.0,5.0,CLEMENTI,5599
SECURITY,M,2016,120413.0,5.0,CLEMENTI,4109
SECURITY,M,1633,470764.0,16.0,BEDOK,4396
SERVICE,F,1105,159961.0,3.0,QUEENSTOWN,5862
SERVICE,F,1029,400035.0,14.0,GEYLANG,6804
CLEANER,M,1564,380014.0,14.0,KALLANG,7138
CLEANER,F,1046,279567.0,10.0,BUKIT TIMAH,4753
CLEANER,F,1174,331010.0,12.0,KALLANG,7013
SERVICE,F,1555,287173.0,11.0,BUKIT TIMAH,5078
OTHER,F,1414,659244.0,23.0,BUKIT BATOK,8077
TECHNICIAN,F,1155,538756.0,19.0,HOUGANG,5187
SERVICE,M,1142,258853.0,10.0,TANGLIN,4833
CLEANER,F,1344,228314.0,9.0,NEWTON,7074
SECURITY,M,1752,554713.0,19.0,SERANGOON,6150
CLEANER,M,1170,229664.0,9.0,NEWTON,7312
SERVICE,M,1175,269258.0,10.0,BUKIT TIMAH,5182
CLEANER,F,1398,589663.0,21.0,BUKIT TIMAH,6395
SERVICE,M,1041,439943.0,15.0,MARINE PARADE,5611
SERVICE,F,1065,109690.0,4.0,BUKIT MERAH,7548
SERVICE,F,1509,239228.0,9.0,RIVER VALLEY,6144
CLEANER,F,1267,545119.0,19.0,SENGKANG,7563
CLERICAL,F,1604,259829.0,10.0,TANGLIN,4788
SERVICE,M,1440,436918.0,15.0,KALLANG,6485
PLANT AND MACHINE,F,1214,797497.0,28.0,SENGKANG,7108
PLANT AND MACHINE,F,1168,507027.0,17.0,PASIR RIS,4192
TECHNICIAN,F,1503,248730.0,10.0,TANGLIN,5721
PLANT AND MACHINE,M,1835,680015.0,23.0,CHOA CHU KANG,3178
CLEANER,M,1465,438611.0,15.0,GEYLANG,6315
TECHNICIAN,M,1210,259849.0,10.0,TANGLIN,7233
SECURITY,M,1826,259798.0,10.0,TANGLIN,4582
CLEANER,M,1226,228519.0,9.0,NEWTON,5937
CRAFTS,F,1499,732684.0,25.0,WOODLANDS,6533
SERVICE,F,1142,118687.0,5.0,QUEENSTOWN,7024
CLEANER,F,1020,523523.0,18.0,TAMPINES,5113
SERVICE,F,1219,247965.0,10.0,BUKIT MERAH,7042
PLANT AND MACHINE,M,1643,543266.0,19.0,SENGKANG,5555
CLERICAL,F,1808,288853.0,11.0,BUKIT TIMAH,4204
SERVICE,F,1384,417394.0,14.0,BEDOK,5770
SERVICE,M,1416,200815.0,8.0,KALLANG,4749
CLEANER,M,1179,309700.0,11.0,NOVENA,4231
SERVICE,F,1396,679660.0,23.0,BUKIT PANJANG,2970
PLANT AND MACHINE,M,1380,266622.0,10.0,BUKIT TIMAH,5761
CLERICAL,F,1749,760442.0,27.0,YISHUN,7884
SERVICE,M,1319,560171.0,20.0,ANG MO KIO,1522
CLERICAL,M,1339,560420.0,20.0,ANG MO KIO,6915
SERVICE,F,1264,530302.0,19.0,HOUGANG,5778
SERVICE,M,1218,426202.0,15.0,BEDOK,6090
SECURITY,F,1332,164025.0,3.0,BUKIT MERAH,7930
SERVICE,M,1146,820138.0,19.0,PUNGGOL,4922
CLEANER,F,1200,828731.0,19.0,PUNGGOL,4589
SERVICE,M,1100,768198.0,27.0,YISHUN,4509
CLEANER,F,1502,569787.0,20.0,ANG MO KIO,3938
CRAFTS,M,1051,555796.0,19.0,SERANGOON,7419
SERVICE,M,1308,437885.0,15.0,MARINE PARADE,4226
SERVICE,F,1135,822672.0,19.0,PUNGGOL,6723
SERVICE,F,1154,806740.0,28.0,ANG MO KIO,5529
SERVICE,F,1445,249614.0,10.0,TANGLIN,7240
SERVICE,M,1073,258005.0,10.0,TANGLIN,6045
SERVICE,M,1117,266758.0,10.0,BUKIT TIMAH,4717
CLEANER,M,1248,289291.0,11.0,BUKIT TIMAH,6556
TECHNICIAN,F,1287,730337.0,25.0,WOODLANDS,861
TECHNICIAN,M,1792,289235.0,11.0,BUKIT TIMAH,4758
PLANT AND MACHINE,F,1702,238275.0,9.0,SINGAPORE RIVER,5639
SECURITY,M,1809,689102.0,23.0,CHOA CHU KANG,4059
SERVICE,F,1324,140129.0,3.0,QUEENSTOWN,4612
SECURITY,M,1738,359729.0,13.0,SERANGOON,5288
CLEANER,F,1154,102109.0,4.0,BUKIT MERAH,4221
SERVICE,M,1125,730165.0,25.0,WOODLANDS,4721
SERVICE,F,1389,522515.0,18.0,TAMPINES,5638
TECHNICIAN,F,1211,529868.0,18.0,TAMPINES,4965
CLEANER,F,1154,228459.0,9.0,ROCHOR,620
CLERICAL,F,1666,126827.0,5.0,CLEMENTI,5059
CLERICAL,M,1620,548706.0,19.0,HOUGANG,4634
CLEANER,F,1267,298130.0,11.0,NOVENA,7978
CLEANER,M,1979,542213.0,19.0,SENGKANG,827
SERVICE,F,1319,520887.0,18.0,TAMPINES,5434
PLANT AND MACHINE,M,2205,544917.0,19.0,HOUGANG,6871
CLEANER,F,1272,545085.0,19.0,SENGKANG,2296
SERVICE,F,1080,522518.0,18.0,TAMPINES,7053
PLANT AND MACHINE,F,1786,90102.0,4.0,BUKIT MERAH,7612
CLERICAL,F,1304,187948.0,7.0,ROCHOR,6241
CLEANER,M,1238,138689.0,5.0,QUEENSTOWN,6802
CRAFTS,F,1182,138638.0,5.0,QUEENSTOWN,6539
PLANT AND MACHINE,F,1440,286724.0,11.0,BUKIT TIMAH,6768
CLEANER,F,1375,127363.0,5.0,CLEMENTI,6647
CLERICAL,F,2215,126839.0,5.0,CLEMENTI,1931
PLANT AND MACHINE,F,1848,579980.0,20.0,BISHAN,8018
SERVICE,F,1265,787130.0,26.0,ANG MO KIO,6437
SERVICE,M,1124,297820.0,11.0,NOVENA,2518
CLEANER,F,1160,458556.0,15.0,BEDOK,4259
SERVICE,F,1042,258380.0,10.0,TANGLIN,4417
SERVICE,F,1401,238255.0,9.0,SINGAPORE RIVER,4705
PLANT AND MACHINE,F,1244,330022.0,12.0,KALLANG,4912
TECHNICIAN,F,1399,238307.0,9.0,RIVER VALLEY,6818
CLERICAL,M,2186,426626.0,15.0,GEYLANG,5274
CLERICAL,F,1812,238307.0,9.0,RIVER VALLEY,7559
CLERICAL,M,2105,249105.0,10.0,TANGLIN,2325
SERVICE,M,1277,239192.0,9.0,RIVER VALLEY,5992
SERVICE,F,1330,259298.0,10.0,TANGLIN,4846
CLERICAL,F,1902,486069.0,16.0,TAMPINES,6051
CLEANER,M,1056,249617.0,10.0,RIVER VALLEY,3810
CLEANER,F,1225,439888.0,15.0,MARINE PARADE,7761
SECURITY,F,1756,358828.0,13.0,TOA PAYOH,4625
SERVICE,F,1132,248903.0,10.0,TANGLIN,2719
CLERICAL,M,1583,238363.0,9.0,RIVER VALLEY,7645
OTHER,F,1484,466840.0,16.0,BEDOK,6412
PLANT AND MACHINE,F,2150,436917.0,15.0,KALLANG,4909
SERVICE,M,1071,258361.0,10.0,TANGLIN,4114
CLEANER,F,1418,161126.0,3.0,BUKIT MERAH,6633
CRAFTS,F,1221,436904.0,15.0,KALLANG,6034
PLANT AND MACHINE,F,1776,437434.0,15.0,KALLANG,5874
CLERICAL,F,1664,670238.0,23.0,BUKIT PANJANG,588
SERVICE,F,1182,649822.0,22.0,JURONG WEST,6837
CLERICAL,F,1927,288033.0,11.0,BUKIT TIMAH,7050
SERVICE,F,1279,119519.0,5.0,QUEENSTOWN,7485
SERVICE,F,1307,257922.0,10.0,TANGLIN,6056
CRAFTS,F,1191,570503.0,20.0,BISHAN,7285
CLERICAL,F,1070,429574.0,15.0,MARINE PARADE,2193
CLEANER,F,883,730215.0,25.0,WOODLANDS,5168
CLEANER,F,1355,228223.0,9.0,NEWTON,8031
CLERICAL,M,1462,308380.0,11.0,NOVENA,5573
CLEANER,F,1330,670166.0,23.0,BUKIT PANJANG,4659
SERVICE,F,1352,398074.0,14.0,GEYLANG,6347
CLEANER,F,1134,398074.0,14.0,GEYLANG,1548
SECURITY,M,1939,640914.0,22.0,JURONG WEST,5481
CLERICAL,M,2160,640929.0,22.0,JURONG WEST,7582
CLERICAL,M,2021,130017.0,5.0,QUEENSTOWN,5126
SERVICE,M,1305,575728.0,20.0,BISHAN,4324
SERVICE,F,1440,560511.0,20.0,ANG MO KIO,4127
CRAFTS,M,1212,680122.0,23.0,CHOA CHU KANG,1294
SECURITY,F,1446,436879.0,15.0,KALLANG,6567
